Designator,Val,Package,Mid X,Mid Y,Rotation,Layer,,old rot,fix needed
R50,33k,R_0603_1608Metric,121.031,-110.871,180,top,,,
R51,33k,R_0603_1608Metric,118.7195,-90.805,180,top,,,
R52,1k,R_0603_1608Metric,122.301,-122.428,90,top,,,
R53,1k,R_0603_1608Metric,120.015,-102.489,90,top,,,
R54,1k,R_0603_1608Metric,123.317,-111.633,270,top,,,
R55,1k,R_0603_1608Metric,121.031,-91.5415,270,top,,,
R56,10k,R_0603_1608Metric,44.323,-124.206,0,top,,,
R57,100R,R_0402_1005Metric,75.565,-62.103,90,top,,,
R58,47R,R_0603_1608Metric,118.11,-35.052,90,top,,,
R59,47R,R_0603_1608Metric,120.65,-35.052,90,top,,,
R60,47R,R_0603_1608Metric,123.19,-35.052,90,top,,,
R61,47R,R_0603_1608Metric,125.603,-35.052,90,top,,,
R62,47R,R_0603_1608Metric,128.27,-35.052,90,top,,,
R63,47R,R_0603_1608Metric,130.81,-35.077,90,top,,,
R64,47R,R_0603_1608Metric,133.35,-35.052,90,top,,,
R65,47R,R_0603_1608Metric,135.89,-35.052,90,top,,,
R66,10k,R_0603_1608Metric,119.126,-123.825,90,top,,,
R67,10k,R_0603_1608Metric,116.967,-104.0765,90,top,,,
R68,100R,R_0402_1005Metric,56.769,-47.117,180,top,,,
R69,100R,R_0402_1005Metric,56.769,-45.974,180,top,,,
R70,100R,R_0402_1005Metric,56.769,-44.831,180,top,,,
R71,100R,R_0402_1005Metric,56.769,-43.688,180,top,,,
R72,100R,R_0402_1005Metric,56.769,-42.545,180,top,,,
R73,100R,R_0402_1005Metric,56.769,-41.402,180,top,,,
R74,100R,R_0402_1005Metric,56.769,-40.259,180,top,,,
R75,100R,R_0402_1005Metric,54.864,-48.768,0,top,,,
R76,100R,R_0402_1005Metric,54.864,-47.625,0,top,,,
R77,100R,R_0402_1005Metric,54.887,-46.482,0,top,,,
R78,100R,R_0402_1005Metric,54.887,-45.339,0,top,,,
R79,100R,R_0402_1005Metric,54.864,-44.196,0,top,,,
R80,100R,R_0402_1005Metric,54.864,-43.053,0,top,,,
R81,100R,R_0402_1005Metric,54.864,-41.91,0,top,,,
R82,100R,R_0402_1005Metric,54.864,-40.767,0,top,,,
R83,10k,R_0603_1608Metric,113.728,-73.406,180,top,,,
R84,10k,R_0603_1608Metric,111.506,-85.598,90,top,,,
R85,22k,R_0603_1608Metric,114.554,-75.692,90,top,,,
R86,22k,R_0603_1608Metric,113.284,-86.233,270,top,,,
R87,10k,R_0603_1608Metric,116.586,-75.5015,270,top,,,
R88,10k,R_0603_1608Metric,114.872,-86.233,90,top,,,
R89,10k,R_0603_1608Metric,117.158,-85.5345,0,top,,,
R90,10k,R_0603_1608Metric,118.898,-76.327,0,top,,,
R91,1k,R_0603_1608Metric,121.285,-75.438,270,top,,,
R92,1k,R_0603_1608Metric,120.269,-85.5345,180,top,,,
R93,100R,R_0402_1005Metric,77.089,-62.103,90,top,,,
R94,1M5,R_0603_1608Metric,107.696,-46.228,270,top,,,
R95,1M5,R_0603_1608Metric,31.75,-74.803,0,top,,,
R96,1M5,R_0603_1608Metric,31.496,-60.579,0,top,,,
R97,2k2,R_0603_1608Metric,32.131,-55.88,180,top,,,
R98,10k,R_0603_1608Metric,106.172,-57.531,180,top,,,
R99,10k,R_0603_1608Metric,109.474,-57.531,180,top,,,
R100,2k2,R_0603_1608Metric,32.131,-54.102,180,top,,,
R101,12k,R_0603_1608Metric,45.466,-132.08,90,top,,,
R102,12k,R_0603_1608Metric,36.83,-127.508,90,top,,,
R105,10k,R_0603_1608Metric,48.895,-125.349,270,top,,,
R106,10k,R_0603_1608Metric,37.338,-124.714,180,top,,,
U1,MCP6002-xSN,SOIC-8_3.9x4.9mm_P1.27mm,34.671,-96.393,180,top,,270,u1 - right
U2,LM1117-3.3,SOT-223-3_TabPin2,67.9704,-81.6864,270,top,,90,u2 - 180
U3,LM1117-3.3,SOT-223-3_TabPin2,102.0953,-82.2071,90,top,,270,u3 - 180
U4,STM32L476VGTx,LQFP-100_14x14mm_P0.5mm,78.5495,-52.3494,90,top,,180,u4 - right
U5,TL072,SOIC-8_3.9x4.9mm_P1.27mm,119.634,-61.468,0,top,,90,u5 - right
U6,WM8758B,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,99.2886,-67.5132,180,top,,270,u6 - right
U7,TL072,SOIC-8_3.9x4.9mm_P1.27mm,117.094,-80.899,180,top,,270,u7 - right
U8,MCP6002-xSN,SOIC-8_3.9x4.9mm_P1.27mm,33.528,-66.802,180,top,,270,u8 - right
U9,MCP6002-xSN,SOIC-8_3.9x4.9mm_P1.27mm,35.179,-111.6315,180,top,,270,u9 - right
U10,TL072,SOIC-8_3.9x4.9mm_P1.27mm,117.729,-96.901,180,top,,270,u10 -  right
U11,TL072,SOIC-8_3.9x4.9mm_P1.27mm,120.015,-117.094,180,top,,270,u11 - right
U12,W25Q32JVSS,SOIC-8_5.23x5.23mm_P1.27mm,75.565,-69.088,0,top,,90,u12 - right
U13,TPS61040DBV,SOT-23-5,88.9,-100.457,0,top,,180,u13 - 180
U14,W25Q32JVSS,SOIC-8_5.23x5.23mm_P1.27mm,75.536,-78.554,180,top,,270,u14 - right
U15,USBLC6-2SC6,SOT-23-6,68.961,-126.365,270,top,,90,u15 - 180
U16,TL072,SOIC-8_3.9x4.9mm_P1.27mm,42.926,-127.762,90,top,,180,u16 - right
U17,LIS2DH12,LGA-12_2x2mm_P0.5mm,68.199,-42.926,180,top,,180,
Y1,Crystal_GND24,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,90.678,-51.562,90,top,,,
